lp,src,mt,ref,score,raw,annotators,domain,year
bn-en,আমি ওবায় যাইতাম নায়,I wouldn't go to him.,I will not go there,48.24073845667909,35.0,1,text book,2025
bn-en,আমি ওবায় যাইমু,I'm going to go to him.,I will go there,48.24073845667909,35.0,1,text book,2025
bn-en,একটা কবিতা কও,A poem of your own .,Recite a poem,44.331461668860555,27.5,1,text book,2025
bn-en,আমার কবিতা পছন্দ,My poetry is like,I like poetry,50.846922981891446,40.0,1,text book,2025
bn-en,আমার কপাল ভালা,My head is fine.,My luck is good,48.24073845667909,35.0,1,text book,2025
bn-en,হে কিলাখান ঝিমার দেখ,"Hey , look at the rain .",Look at how he's squinting,35.20981583061733,10.0,1,text book,2025
bn-en,কিতা ফাইছো,I'm going to kill you.,What did you get,35.20981583061733,10.0,1,text book,2025
bn-en,আমি তুমারে দেকিলাইমু,I'm going to tell you.,I will see you,44.331461668860555,27.5,1,text book,2025
bn-en,ভুলি গেছো,You forgot .,You forgot,82.12113728443965,100.0,1,text book,2025
bn-en,কিতা তরকারি?,What's that?,What curry,59.968568820134664,57.5,1,text book,2025
bn-en,আমি ফারমু,I'm not a farmer.,I can,50.846922981891446,40.0,1,text book,2025
bn-en,হে ভাগছে,He 's sharing,He ran away,32.60363130540498,5.0,1,text book,2025
bn-en,হে অনেক ডরালোক,"Hey, you're too scared.",He is very shy,50.846922981891446,40.0,1,text book,2025
bn-en,তরকারি নেও,Take it .,Take the curry,59.968568820134664,57.5,1,text book,2025
bn-en,কান্দাত আও,I'm not a candidate.,Come closer,29.99744678019263,0.0,1,text book,2025
bn-en,আফনারে ফাঠাইছে?,Are you trapped?,Sent you?,35.20981583061733,10.0,1,text book,2025
bn-en,শিমুর গোলাপি রং পছন্দ,Shimour is pink .,Shimu likes pink color,40.422184881042035,20.0,1,text book,2025
bn-en,শিমুর আকাশী রং পছন্দ,Shimour's sky is the color of love.,Shimu likes blue color,37.81600035582968,15.0,1,text book,2025
bn-en,শিমুর ধূসর রং পছন্দ,Shimour is a grey color choice.,Shimu prefers gray color,44.331461668860555,27.5,1,text book,2025
bn-en,শিমুর মেরুন রং পছন্দ,Shimour is a good choice .,Shimu prefers maroon color,37.81600035582968,15.0,1,text book,2025
bn-en,শিমুর কমলা রং পছন্দ,Shimour is a red color .,Shimu likes orange color,32.60363130540498,5.0,1,text book,2025
bn-en,শিমুর খয়েরি রং পছন্দ,Shimour is a good choice.,Shimu likes brown colors,29.99744678019263,0.0,1,text book,2025
bn-en,আফনারা আগে জাউকা,Before the game .,You go first,33.90672356801115,7.5,1,text book,2025
bn-en,আফনে কোন থাকি আইছইন,I'm not staying in Afghanistan.,Where are you from?,29.99744678019263,0.0,1,text book,2025
bn-en,সামলাইয়া রাখিও,Samlaya Rakhine,Keep it under control,29.99744678019263,0.0,1,text book,2025
bn-en,কিতা করবায় আমি যদি ঠিক থাকি,I'll do it if I feel all right.,what will you do if I am right?,44.331461668860555,27.5,1,text book,2025
bn-en,আমার মাত বুঝরে তুই,My mother understands you .,You are understanding my words.,41.725277143648206,22.5,1,text book,2025
bn-en,আমার ফিছে কিতা,My fish book.,What's behind me?,29.99744678019263,0.0,1,text book,2025
bn-en,আমি তুমারে দেকিলাইমু,I'm going to tell you.,I will see you,46.937646194072904,32.5,1,text book,2025
bn-en,যাওয়ার সময় কোনানো গেছলে,"When you go, no one will go.",Where did you go when you left?,33.90672356801115,7.5,1,text book,2025
bn-en,জানটা ঘরে রাইক্ষ,I know it's in the house.,Keep your soul at home,36.5129080932235,12.5,1,text book,2025
bn-en,মাতাত আত দিয়া কও আমারে ধুকা দিতায় না,"Mother, I'm not going to let you hurt me.",Put your hand on your head and say don't cheat on me,37.81600035582968,15.0,1,text book,2025
