Sylheti,English
আমি,I
তুমি,you
হে,he
তাই,she
অগু,it
আমরা,we
অতা,they
আমারে,me
তারে,him
তাইরে,her
আম্রার,us
তারার,them
আমারগুতা,mine
তুমারটা,yours
তারগুতা,his
তাইর গুতা,hers
আমরার টা,ours
তারার টা,theirs
খে,who
খারে,whom
খারে,whose
কুনটা,which
যে,that
অউ,this
অগুইন,these
হগুইন,those
কিতা,what
অটাত,at
উফরে,on
ভিত্রে,in
 এর লাগি,for
অগুর,of
লাকান,like
লগে,with
আর,and
কিন্তু,but
কুন সময়,when
আগে,before
বাদে,after
খারণ,because
খেমন,How
কোনখান,Which one
কোনবায় ,Somewhere
মুই,I
ভালা ,Fine
আছি,I am
নাই,No
তুমি ,You
আছ,You are
কিলান,How
না,No
লাগছে,Feeling
ক্রিকেট ,Cricket
খেলাইতাম,Will play
আর,And
খাইতে ,To eat
ইচ্ছা,Desire
খরছে,Doing
ফেট,Stomach
বরা,Full of
তোমার,Your
নাম,Name
কিতা,What
আমার,My
নয়ন ,Noyon
যাইতাম ,Going
কোনানো ,Where
আইছো ,Are coming
তোমারে,You
ভালা পাই,Love
মাস্টর,Master
বেঙ্গুরা,Bengura
বোয়ালখালি,Boyalkhali
সুলতান,Sultan
থাখক,Stay
ভালা,Fine
নাই,No
বাংলাদেশ,Bangladesh
হৃদয়,Heart
থাকি,Stay
অনেক,A lot
ফছনদ,Like
খারাপ,Bad
পুয়া,Boy
খামার,The farm
ছবি,Picture
পাতা ,Leaf
তার,His
দুয়ার,Door
পাহাড়,Hill
প্রাচীর,The wall
বই ,Book
মানুষ,Man
দুলাভাই,Brother in law
লাগলেন,Got (became)
ফাটি,Burst
উনাই,Melt
আটখাইয়া,Stuck
রাজশাহী,Rajshahi
মানিয়া,Accepted
মানা,Denied
চাইরদিকে,Around
বেদরকারে ,Unnecessarily
দিকে,Direction
লগে ,With
ফাওয়া,Achievement
বান্দিয়া ,Tied
বাটপারি,Fraud
টেংগা,Sour
মন,Mind
বেয়াদবি,Rudeness
ছাড়িয়া ,Left
ইফতার,Iftar
ইফতারি ,Iftari
করার,To do
কান,Ear
উচা,High
যখন,When
হাছা,Truth
জবো,Slaughter
